,ini_price,sicks,ranks,horse_items,dad_record,dad_rate,mom_record,mom_rate
0,,"['좌전지파행 2020/08/15', '좌전지파행 2020/08/14', '운동기질환 기타 2019/09/07', '운동기인성 피로회복 2019/08/04', '운동기인성 피로회복 2019/07/20', '소화기 질환 기타 2019/06/23', '소화기 질환 기타 2019/01/27', '운동기질환 기타 2018/11/17', '운동기질환 기타 2018/11/16', '소화기 질환 기타 2018/10/12', '소화기 질환 기타 2018/04/16', '소화기 질환 기타 2018/04/15', '식이성 식욕부진 2018/03/17', '운동기질환 기타 2018/03/17', '운동기질환 기타 2018/03/16', '일본뇌염예방접종 2017/06/28', '운동기질환 기타 2017/04/30', '소화기 질환 기타 2017/03/19', '감기 2017/02/24', '감기 2017/02/23']","['제4 2020/01/01 ~ 2021/05/12', '제3 2019/08/04 ~ 2019/12/31', '제4 2018/11/18 ~ 2019/08/03', '제5 2018/08/26 ~ 2018/11/17', '제1 2017/03/18 ~ 2018/08/25', '신 2017/03/09 ~ 2017/03/17', '미 2017/01/25 ~ 2017/03/08']",['눈가면 2018/02/25~'],42전 (6/8/5/7/5),단승 : 14.3%      복승 : 33.3%      연승 : 45.2%,0전 (0/0/0/0/0),단승 : 0.0%      복승 : 0.0%      연승 : 0.0%
1,,"['낭치 2017/08/12', '정치 2017/08/12', '일본뇌염예방접종 2017/08/09', '선역예방접종 2017/08/09', '우전지파행 2017/04/29', '우전지파행 2015/03/23', '우전지파행 2015/03/22', '우전지파행 2015/03/21']","['제5 2020/01/01 ~ 2020/05/07', '제4 2018/09/02 ~ 2019/12/31', '제5 2018/08/26 ~ 2018/09/01', '제1 2015/07/11 ~ 2018/08/25', '신 2015/03/12 ~ 2015/07/10', '미 2014/12/10 ~ 2015/03/11']","['눈가면 2020/02/02~', '구각자극판 2019/05/14~2019/11/24']",2전 (2/0/0/0/0),단승 : 100.0%      복승 : 100.0%      연승 : 100.0%,None,None
2,,"['정치 2019/04/03', '식이성 식욕부진 2016/09/04', '낭치 2016/06/30', '정치 2016/06/30']","['제3 2020/08/23 ~ 2021/01/27', '제4 2020/01/01 ~ 2020/08/22', '제3 2019/03/31 ~ 2019/12/31', '제4 2018/08/26 ~ 2019/03/30', '제1 2016/03/05 ~ 2018/08/25', '신 2016/02/18 ~ 2016/03/04', '미 2015/07/08 ~ 2016/02/17']","['눈가면 2017/12/03~2019/01/27', '눈가면 2016/08/21~2017/04/02']",42전 (6/8/5/7/5),단승 : 14.3%      복승 : 33.3%      연승 : 45.2%,18전 (5/4/2/2/1),단승 : 27.8%      복승 : 50.0%      연승 : 61.1%
3,,"['운동기인성 피로회복 2019/12/20', '좌각막염 2019/12/14', '좌각막염 2019/12/13', '좌각막염 2019/12/12', '좌각막염 2019/12/11', '운동기질환 기타 2019/03/25', '운동기질환 기타 2019/03/24', '운동기질환 기타 2019/03/23', '소화기 질환 기타 2018/11/10', '운동기질환 기타 2018/08/11', '좌전지파행 2018/08/10', '운동기질환 기타 2018/07/08', '운동기질환 기타 2018/07/07', '소화기 질환 기타 2018/04/09', '소화기 질환 기타 2018/04/08', '소화기 질환 기타 2018/04/07', '선역예방접종 2017/11/08', '안상 2017/03/25', '안상 2017/03/24', '안상 2017/03/23', '안상 2017/03/22', '감기 2016/10/09', '감기 2016/10/08', '감기 2016/08/26', '감기 2016/08/25', '감기 2016/08/24', '감기 2016/08/07', '감기 2016/08/06', '감기 2016/08/05', '감기 2016/08/04', '기타임신검사(초음파) 2016/07/17', '낭치 2016/07/13', '정치 2016/07/13']","['제4 2018/08/26 ~ 2020/07/22', '제1 2016/08/19 ~ 2018/08/25', '신 2016/08/04 ~ 2016/08/18', '미 2016/06/29 ~ 2016/08/03']",['눈가면 2017/04/09~'],None,None,None,None
4,"10,000천원(개별)","['운동기질환 기타 2019/05/26', '운동기질환 기타 2019/05/25', '운동기질환 기타 2019/05/12', '운동기질환 기타 2019/04/28', '운동기질환 기타 2019/04/27', '운동기질환 기타 2019/04/15', '운동기질환 기타 2019/04/14', '운동기질환 기타 2019/04/13', '좌전지파행 2019/02/25', '좌전지파행 2019/02/24', '운동기질환 기타 2019/02/03', '운동기질환 기타 2019/02/02', '감기 2018/11/11', '감기 2018/11/10', '낭치 2018/05/26', '정치 2018/05/26']","['제4 2022/01/01 ~ 2023/04/20', '제3 2021/09/12 ~ 2021/12/31', '제4 2020/01/01 ~ 2021/09/11', '제3 2019/07/14 ~ 2019/12/31', '제4 2018/12/30 ~ 2019/07/13', '제5 2018/11/04 ~ 2018/12/29', '제6 2018/08/26 ~ 2018/11/03', '제1 2018/07/20 ~ 2018/08/25', '미 2018/07/12 ~ 2018/07/19', '미 2018/05/02 ~ 2018/07/11']","['계란형큰고리재갈 2021/05/02~', '눈가면 2018/06/24~']",None,None,33전 (1/1/1/5/2),단승 : 3.0%      복승 : 6.1%      연승 : 9.1%
5,,"['기타 2002/06/26', '예방접종(백신접종) 2002/05/15']","['C3 2002/06/24 ~ 2002/08/10', 'C4 2002/05/12 ~ 2002/06/23', '신 2002/05/03 ~ 2002/05/11', '미 2002/03/20 ~ 2002/05/02']","['달천 (DALCHEON) ~강현수', '양일천(7조) C3~23세', '7전 (2/1/1/0/0) 28.6%~42.9%']",None,None,None,None
6,"41,000천원(개별)","['우전지파행 2022/09/24', '정치 2019/10/04', '감기 2019/09/08', '감기 2019/09/07', '소화기 질환 기타 2019/02/24', '소화기 질환 기타 2019/02/02', '소화기 질환 기타 2019/01/12', '소화기 질환 기타 2018/12/30', '운동기질환 기타 2018/09/22', '운동기질환 기타 2018/09/02', '감기 2018/08/05', '낭치 2018/07/26', '정치 2018/07/26', '감기 2018/07/22', '감기 2018/07/21']","['제4 2022/01/01 ~ 현재', '제3 2021/10/03 ~ 2021/12/31', '제4 2020/01/01 ~ 2021/10/02', '제3 2019/06/16 ~ 2019/12/31', '제4 2018/10/21 ~ 2019/06/15', '제6 2018/08/26 ~ 2018/10/20', '제1 2018/07/06 ~ 2018/08/25', '미 2018/06/28 ~ 2018/07/05', '미 2018/06/03 ~ 2018/06/27']","['눈가면 2021/09/02~2023/10/08', '계란형큰고리재갈 2021/08/29~2021/09/02', 'Triabit러깅재갈 2021/04/03~2021/08/08', '구각자극판 2019/08/25~2019/12/26']",21전 (4/2/1/2/0),단승 : 19.0%      복승 : 28.6%      연승 : 33.3%,None,None
7,,"['인푸렌자예방접종 2017/09/06', '정치 2017/01/12']","['제4 2018/11/04 ~ 2019/12/29', '제5 2018/08/26 ~ 2018/11/03', '제1 2017/02/11 ~ 2018/08/25', '신 2017/01/26 ~ 2017/02/10', '미 2016/12/28 ~ 2017/01/25']",[],2전 (2/0/0/0/0),단승 : 100.0%      복승 : 100.0%      연승 : 100.0%,3전 (0/0/0/0/0),단승 : 0.0%      복승 : 0.0%      연승 : 0.0%
8,,"['산통 2018/09/28', '산통 2018/09/27', '산통 2016/09/17', '산통 2016/03/17']","['제5 2022/01/01 ~ 현재', '제4 2018/08/26 ~ 2021/12/31', '제1 2016/02/13 ~ 2018/08/25', '미 2016/01/28 ~ 2016/02/12', '미 2015/11/04 ~ 2016/01/27']","['눈가면 2021/07/11~', '망사눈가면 2018/08/11~2021/01/24', '망사눈가면 2016/07/10~2018/03/25', '눈가면 2016/01/31~2016/07/10']",30전 (4/0/8/4/2),단승 : 13.3%      복승 : 13.3%      연승 : 40.0%,None,None
9,"12,000천원(개별)","['좌전지파행 2023/09/24', '좌전지파행 2023/09/23', '좌전지파행 2023/09/06', '좌전지파행 2023/09/03', '좌전지파행 2023/09/02', '좌전지파행 2023/08/20', '좌전지파행 2023/08/19', '좌전지파행 2023/07/30', '좌전지파행 2023/07/29', '운동기질환 기타 2023/04/09', '좌전지파행 2023/03/05', '정치 2019/11/08', '낭치 2017/06/01', '정치 2017/06/01', '일본뇌염예방접종 2017/05/31', '선역예방접종 2017/05/31']","['제3 2023/08/20 ~ 현재', '제4 2022/01/01 ~ 2023/08/19', '제3 2020/02/09 ~ 2021/12/31', '제4 2020/01/01 ~ 2020/02/08', '제3 2019/09/08 ~ 2019/12/31', '제4 2018/08/26 ~ 2019/09/07', '제1 2017/07/15 ~ 2018/08/25', '미 2017/06/29 ~ 2017/07/14', '미 2017/05/31 ~ 2017/06/28']",[],87전 (5/15/5/7/8),단승 : 5.7%      복승 : 23.0%      연승 : 28.7%,11전 (3/0/1/1/1),단승 : 27.3%      복승 : 27.3%      연승 : 36.4%
