,Apartment,Customer,April,May,June,July
0,공덕,etri04202104885,123.9,135.3,125.7,216.9
1,공덕,etri04202124115,152.9,164.8,185.5,285.8
2,공덕,etri04202127772,140.2,166.1,164.4,207.2
3,공덕,etri04202128241,173.2,183.6,164.2,193.0
4,공덕,etri04202129637,82.3,88.9,94.9,108.2
5,공덕,etri04202130254,132.7,143.8,145.6,167.1
6,공덕,etri04202132314,143.4,142.3,154.7,182.9
7,공덕,etri04202132607,206.2,216.8,199.4,316.2
8,공덕,etri04202136316,177.7,166.8,166.8,220.3
9,공덕,etri04202137155,248.4,257.9,265.2,429.701
10,공덕,etri04202145444,160.6,167.9,158.2,290.2
11,공덕,etri04202153269,278.7,283.0,262.8,345.6
12,공덕,etri04202157521,212.8,223.6,245.3,375.201
13,공덕,etri04202161533,157.3,146.0,174.2,357.4
14,공덕,etri04202161615,107.8,152.4,173.8,244.8
15,공덕,etri04202172311,323.1,345.0,336.3,454.401
16,공덕,etri04202176309,205.0,203.3,188.4,221.5
17,공덕,etri04202187785,363.5,355.0,376.7,518.6
18,공덕,etri04202195023,238.7,237.9,241.1,353.601
19,공덕,etri04202198398,165.3,180.8,242.8,373.6
20,공덕,etri04202205398,180.4,169.8,190.0,280.9
21,공덕,etri04202206538,113.3,145.9,142.6,255.1
22,공덕,etri04202206978,262.1,237.9,250.6,307.899
23,공덕,etri04202210089,230.6,231.7,240.8,311.9
24,공덕,etri04202216371,125.5,139.7,141.9,211.9
25,공덕,etri04202225934,197.8,205.6,222.5,369.999
26,공덕,etri04202231683,209.7,242.3,234.9,288.6
27,공덕,etri04202240301,234.5,254.9,265.4,289.201
28,공덕,etri04202246526,221.2,226.5,237.0,305.1
29,공덕,etri04202249192,248.1,242.2,227.9,369.999
30,공덕,etri04202251011,269.7,311.1,301.8,375.801
31,공덕,etri04202252329,131.7,112.3,129.2,211.9
32,공덕,etri04202259440,326.5,288.8,243.8,351.2
33,공덕,etri04202260519,223.1,229.5,218.9,241.299
34,공덕,etri04202262081,69.1,66.5,69.4,88.3
35,공덕,etri04202262470,245.6,260.2,253.6,452.399
36,공덕,etri04202262539,196.1,193.4,196.5,297.8
37,공덕,etri04202265808,216.4,209.8,230.7,370.0
38,공덕,etri04202268410,280.4,285.0,316.2,350.3
39,공덕,etri04202273781,229.3,233.8,214.0,325.101
40,공덕,etri04202276319,230.0,218.9,245.1,319.4
41,공덕,etri04202277740,93.7,97.4,103.3,119.999
