,Apartment,Customer,April,May,June,July
6529,대구 태전휴먼시아 ,4000000,257.418,288.492,341.192,490.699
6530,대구 태전휴먼시아 ,4000001,280.938,326.59,361.043,480.148
6531,대구 태전휴먼시아 ,4000002,243.621,293.258,376.671,469.778
6532,대구 태전휴먼시아 ,4000003,188.012,242.539,260.73,424.192
6533,대구 태전휴먼시아 ,4000004,206.172,243.109,205.668,176.403
6534,대구 태전휴먼시아 ,4000005,206.629,271.863,281.829,352.41
6535,대구 태전휴먼시아 ,4000006,187.629,229.379,247.058,403.973
6536,대구 태전휴먼시아 ,4000007,196.852,251.539,243.238,320.223
6537,대구 태전휴먼시아 ,4000008,272.532,349.757,327.391,340.609
6538,대구 태전휴먼시아 ,4000009,146.571,232.218,267.571,376.929
6539,대구 태전휴먼시아 ,4000011,245.582,273.508,307.16,448.383
6540,대구 태전휴먼시아 ,4000012,169.22,205.9,251.75,338.25
6541,대구 태전휴먼시아 ,4000013,225.922,395.61,437.25,505.66
6542,대구 태전휴먼시아 ,4000014,266.73,347.551,466.539,636.52
6543,대구 태전휴먼시아 ,4000015,225.851,300.789,346.051,484.941
6544,대구 태전휴먼시아 ,4000016,261.102,330.289,357.551,473.851
6545,대구 태전휴먼시아 ,4000017,273.988,356.148,405.653,506.039
6546,대구 태전휴먼시아 ,4000018,205.699,256.539,277.551,375.187
6547,대구 태전휴먼시아 ,4000019,181.109,199.961,259.668,315.442
6548,대구 태전휴먼시아 ,4000020,160.051,183.188,237.031,315.769
6549,대구 태전휴먼시아 ,4000021,219.059,273.18,274.05,309.52
6550,대구 태전휴먼시아 ,4000022,96.269,104.321,109.199,133.41
6551,대구 태전휴먼시아 ,4000023,302.508,347.34,347.5,424.48
6552,대구 태전휴먼시아 ,4000024,181.39,187.559,166.32,195.852
6553,대구 태전휴먼시아 ,4000025,181.551,290.387,350.312,502.469
6554,대구 태전휴먼시아 ,4000026,220.19,291.71,387.98,553.85
6555,대구 태전휴먼시아 ,4000027,181.113,224.219,198.77,218.289
6556,대구 태전휴먼시아 ,4000028,148.187,178.133,201.649,306.601
6557,대구 태전휴먼시아 ,4000029,130.258,167.512,178.309,240.211
6558,대구 태전휴먼시아 ,4000030,191.301,244.0,269.64,351.329
6559,대구 태전휴먼시아 ,4000031,215.0,259.129,259.109,311.953
6560,대구 태전휴먼시아 ,4000032,198.141,211.668,176.973,217.418
6561,대구 태전휴먼시아 ,4000033,242.078,283.364,329.687,381.082
6562,대구 태전휴먼시아 ,4000034,192.91,243.18,327.328,416.41
6563,대구 태전휴먼시아 ,4000035,219.332,277.77,292.351,359.0
