,Apartment,Customer,April,May,June,July
8386,마포 상암월드컵파크,5000000,86.87,107.2,129.52,189.45
8387,마포 상암월드컵파크,5000001,225.59,282.28,359.27,437.32
8388,마포 상암월드컵파크,5000002,220.67,277.3,290.84,378.44
8389,마포 상암월드컵파크,5000003,147.58,177.98,179.03,245.64
8390,마포 상암월드컵파크,5000004,158.06,137.23,137.6,184.5
8391,마포 상암월드컵파크,5000006,191.44,210.38,280.34,416.02
8392,마포 상암월드컵파크,5000007,147.75,174.25,171.03,295.59
8393,마포 상암월드컵파크,5000008,191.06,222.21,272.0,437.91
8394,마포 상암월드컵파크,5000009,178.11,236.09,330.23,475.01
8395,마포 상암월드컵파크,5000010,226.29,272.83,303.7,411.18
8396,마포 상암월드컵파크,5000011,94.77,119.43,142.37,194.39
8397,마포 상암월드컵파크,5000012,169.58,251.69,240.26,320.28
8398,마포 상암월드컵파크,5000013,47.26,56.6,49.46,79.14
8399,마포 상암월드컵파크,5000014,84.44,113.31,134.24,165.88
8400,마포 상암월드컵파크,5000015,225.99,278.39,337.32,604.57
8401,마포 상암월드컵파크,5000016,135.68,184.04,243.08,406.17
8402,마포 상암월드컵파크,5000017,127.54,152.76,179.66,287.37
8403,마포 상암월드컵파크,5000019,115.64,139.28,217.52,352.59
8404,마포 상암월드컵파크,5000022,139.99,166.35,155.4,243.18
8405,마포 상암월드컵파크,5000023,109.3,175.04,158.97,228.06
8406,마포 상암월드컵파크,5000024,86.48,99.84,132.03,257.53
8407,마포 상암월드컵파크,5000025,180.24,231.87,239.29,331.34
8408,마포 상암월드컵파크,5000026,222.48,253.07,293.07,457.54
8409,마포 상암월드컵파크,5000027,204.35,273.18,297.56,548.09
8410,마포 상암월드컵파크,5000028,197.78,235.39,278.71,337.13
8411,마포 상암월드컵파크,5000029,69.19,85.38,180.36,305.89
8412,마포 상암월드컵파크,5000030,225.38,262.11,301.27,358.85
8413,마포 상암월드컵파크,5000031,144.59,176.27,177.27,187.2
8414,마포 상암월드컵파크,5000032,96.38,115.48,101.5,162.14
8415,마포 상암월드컵파크,5000033,183.86,203.81,226.97,378.91
8416,마포 상암월드컵파크,5000034,244.06,326.17,318.08,591.22
8417,마포 상암월드컵파크,5000036,165.87,199.99,201.44,295.37
8418,마포 상암월드컵파크,5000037,229.62,244.32,295.72,520.36
8419,마포 상암월드컵파크,5000038,195.39,234.91,254.89,270.97
8420,마포 상암월드컵파크,5000039,274.16,319.02,322.83,410.2
8421,마포 상암월드컵파크,5000040,129.92,162.73,150.53,204.38
8422,마포 상암월드컵파크,5000041,134.07,146.87,199.94,273.73
8423,마포 상암월드컵파크,5000042,258.94,313.28,370.02,570.91
8424,마포 상암월드컵파크,5000043,90.66,122.63,174.4,292.43
8425,마포 상암월드컵파크,5000044,82.85,94.33,113.67,118.29
8426,마포 상암월드컵파크,5000045,133.38,159.94,164.73,377.82
8427,마포 상암월드컵파크,5001000,205.63,230.24,235.05,297.07
8428,마포 상암월드컵파크,5001001,136.95,158.08,166.4,198.64
8429,마포 상암월드컵파크,5001003,196.96,235.07,254.95,311.1
8430,마포 상암월드컵파크,5001004,107.11,105.59,133.65,261.1
8431,마포 상암월드컵파크,5001005,174.75,229.26,263.59,402.64
8432,마포 상암월드컵파크,5001007,206.4,291.55,368.37,529.52
8433,마포 상암월드컵파크,5001008,80.43,99.3,90.79,107.12
8434,마포 상암월드컵파크,5001009,186.04,241.46,294.86,368.55
8435,마포 상암월드컵파크,5001011,168.36,249.63,247.46,291.63
8436,마포 상암월드컵파크,5001012,148.16,166.69,203.49,311.75
8437,마포 상암월드컵파크,5001013,101.0,119.03,125.93,136.4
8438,마포 상암월드컵파크,5001015,212.18,256.7,260.75,279.63
8439,마포 상암월드컵파크,5001016,41.81,78.22,79.88,143.41
8440,마포 상암월드컵파크,5001018,141.26,180.56,213.34,265.48
8441,마포 상암월드컵파크,5001019,182.52,223.68,236.63,253.64
8442,마포 상암월드컵파크,5001020,92.19,133.74,163.49,367.07
8443,마포 상암월드컵파크,5001021,218.38,247.61,225.39,337.42
8444,마포 상암월드컵파크,5001022,132.37,168.58,182.23,231.99
8445,마포 상암월드컵파크,5001023,103.16,123.26,142.97,221.86
8446,마포 상암월드컵파크,5001024,157.86,200.17,152.33,173.58
8447,마포 상암월드컵파크,5001025,164.95,189.97,170.93,193.09
8448,마포 상암월드컵파크,5001026,140.15,179.99,199.29,214.35
8449,마포 상암월드컵파크,5001028,279.48,316.54,354.93,479.64
8450,마포 상암월드컵파크,5001029,190.95,243.95,286.98,524.68
8451,마포 상암월드컵파크,5001030,102.67,132.63,142.33,210.07
8452,마포 상암월드컵파크,5001031,155.81,178.32,183.18,198.12
8453,마포 상암월드컵파크,5001032,201.5,233.05,230.73,301.94
8454,마포 상암월드컵파크,5001033,116.71,149.96,155.68,194.08
8455,마포 상암월드컵파크,5001034,141.37,176.14,175.42,256.25
8456,마포 상암월드컵파크,5001035,174.37,216.74,228.25,354.29
