,Apartment,Customer,April,May,June,July
4553,송파 위례포레샤인,3001000,10.89,13.46,12.99,13.3
4554,송파 위례포레샤인,3001001,217.98,205.26,209.41,226.43
4555,송파 위례포레샤인,3001002,252.289,315.429,323.942,390.17
4556,송파 위례포레샤인,3001003,232.891,297.408,371.15,444.452
4557,송파 위례포레샤인,3001004,188.25,230.42,234.14,291.2
4558,송파 위례포레샤인,3001005,309.78,369.64,453.879,596.051
4559,송파 위례포레샤인,3001006,164.32,215.97,223.08,308.63
4560,송파 위례포레샤인,3001007,128.31,162.25,174.74,187.81
4561,송파 위례포레샤인,3001008,252.39,306.48,277.86,335.5
4562,송파 위례포레샤인,3001009,94.49,114.59,124.3,190.44
4563,송파 위례포레샤인,3001010,209.48,232.17,240.74,318.72
4564,송파 위례포레샤인,3001011,180.65,223.7,237.8,275.22
4565,송파 위례포레샤인,3001012,157.11,182.7,182.11,210.94
4566,송파 위례포레샤인,3001013,173.71,206.2,213.62,333.22
4567,송파 위례포레샤인,3001015,129.25,192.43,235.77,330.42
4568,송파 위례포레샤인,3001016,89.86,105.87,118.22,162.31
4569,송파 위례포레샤인,3001017,97.42,114.41,132.08,208.63
4570,송파 위례포레샤인,3001018,278.728,320.942,378.709,525.81
4571,송파 위례포레샤인,3001019,165.25,208.72,235.07,358.24
4572,송파 위례포레샤인,3001020,106.99,129.12,153.64,260.9
4573,송파 위례포레샤인,3001021,98.39,114.92,173.26,250.16
4574,송파 위례포레샤인,3001022,126.82,156.82,163.36,245.75
4575,송파 위례포레샤인,3001023,88.84,123.63,205.93,281.43
4576,송파 위례포레샤인,3001024,91.9,96.79,129.63,214.94
4577,송파 위례포레샤인,3001025,144.26,166.14,208.89,274.36
4578,송파 위례포레샤인,3001026,221.26,255.45,330.59,509.34
4579,송파 위례포레샤인,3001027,165.62,196.68,204.79,375.31
4580,송파 위례포레샤인,3001028,87.07,93.99,114.2,228.22
4581,송파 위례포레샤인,3001029,152.28,174.2,291.92,441.34
4582,송파 위례포레샤인,3001030,86.92,85.02,98.63,183.94
4583,송파 위례포레샤인,3001031,183.52,219.64,248.68,400.77
4584,송파 위례포레샤인,3001033,207.13,213.85,212.33,315.15
4585,송파 위례포레샤인,3001034,122.26,159.12,197.74,314.09
4586,송파 위례포레샤인,3001035,138.44,180.05,215.96,335.18
4587,송파 위례포레샤인,3001036,298.5,371.541,359.568,652.401
