,Apartment,Customer,April,May,June,July
4397,동작 본동 SH빌,2001000,147.85,184.99,213.21,251.9
4398,동작 본동 SH빌,2001001,153.8,157.91,189.72,272.15
4399,동작 본동 SH빌,2001002,176.54,202.61,196.8,264.66
4400,동작 본동 SH빌,2001003,136.45,170.84,208.24,365.57
4401,동작 본동 SH빌,2001004,82.46,88.57,102.96,241.9
4402,동작 본동 SH빌,2001007,94.23,114.98,122.75,161.54
4403,동작 본동 SH빌,2001008,195.35,236.4,216.21,242.87
4404,동작 본동 SH빌,2001009,141.14,169.8,151.44,190.82
4405,동작 본동 SH빌,2001010,58.71,80.19,84.89,94.99
4406,동작 본동 SH빌,2001011,85.73,106.02,112.42,156.18
4407,동작 본동 SH빌,2001012,163.58,197.32,209.86,294.95
4408,동작 본동 SH빌,2001013,241.03,274.88,297.8,382.68
4409,동작 본동 SH빌,2001014,75.33,98.49,114.77,144.65
4410,동작 본동 SH빌,2001015,172.23,241.11,217.7,243.79
4411,동작 본동 SH빌,2001016,133.66,150.45,188.51,237.42
4412,동작 본동 SH빌,2001017,124.34,150.02,137.32,150.95
4413,동작 본동 SH빌,2001018,205.33,213.65,163.77,194.12
4414,동작 본동 SH빌,2001019,143.11,183.73,207.74,252.5
4415,동작 본동 SH빌,2001020,84.76,103.73,117.87,180.4
4416,동작 본동 SH빌,2001021,103.15,156.42,154.93,236.54
4417,동작 본동 SH빌,2001022,120.56,153.55,157.65,217.36
4418,동작 본동 SH빌,2001023,136.34,173.62,201.62,295.48
4419,동작 본동 SH빌,2001024,117.76,135.53,139.82,162.58
4420,동작 본동 SH빌,2001025,184.9,201.37,192.79,243.13
4421,동작 본동 SH빌,2001026,149.67,177.82,158.37,253.37
4422,동작 본동 SH빌,2001027,104.95,103.75,99.21,171.5
4423,동작 본동 SH빌,2001029,41.56,48.98,57.97,68.98
4424,동작 본동 SH빌,2001030,158.77,201.12,218.83,316.59
4425,동작 본동 SH빌,2001031,136.97,154.65,141.8,168.11
4426,동작 본동 SH빌,2001032,120.02,165.36,160.35,301.94
4427,동작 본동 SH빌,2001033,126.56,126.19,125.01,151.96
4428,동작 본동 SH빌,2001034,76.66,98.28,107.35,120.83
4429,동작 본동 SH빌,2001035,206.02,242.91,259.4,412.43
4430,동작 본동 SH빌,2001036,82.66,105.21,154.01,213.89
4431,동작 본동 SH빌,2001037,128.88,130.59,104.1,144.94
4432,동작 본동 SH빌,2001038,146.48,178.98,184.3,203.12
4433,동작 본동 SH빌,2001039,156.72,176.5,167.76,187.17
4434,동작 본동 SH빌,2001040,88.48,94.92,106.59,222.46
4435,동작 본동 SH빌,2001041,81.84,99.8,96.68,95.57
4436,동작 본동 SH빌,2001042,138.63,152.85,151.44,167.87
4437,동작 본동 SH빌,2001043,116.62,133.15,144.74,221.05
4438,동작 본동 SH빌,2001044,118.61,148.25,177.41,262.71
4439,동작 본동 SH빌,2001045,203.24,242.2,247.77,306.35
4440,동작 본동 SH빌,2001046,153.16,186.75,171.88,210.84
4441,동작 본동 SH빌,2001047,91.35,175.72,261.5,424.97
4442,동작 본동 SH빌,2001050,76.81,80.49,111.12,148.39
4443,동작 본동 SH빌,2001051,88.09,115.0,126.1,139.57
4444,동작 본동 SH빌,2001052,69.31,95.84,133.97,272.73
4445,동작 본동 SH빌,2001054,113.88,152.27,166.48,214.69
4446,동작 본동 SH빌,2001055,197.06,220.95,205.17,289.67
4447,동작 본동 SH빌,2001056,134.63,156.12,150.38,179.78
4448,동작 본동 SH빌,2001057,102.95,138.6,156.57,244.8
4449,동작 본동 SH빌,2001058,90.85,110.36,119.64,129.49
4450,동작 본동 SH빌,2001059,118.01,134.75,160.0,339.01
4451,동작 본동 SH빌,2001060,235.84,292.96,287.79,344.59
4452,동작 본동 SH빌,2001061,115.11,134.97,109.49,117.48
4453,동작 본동 SH빌,2001062,113.4,136.01,134.34,156.3
4454,동작 본동 SH빌,2001063,139.83,97.05,96.96,104.02
4455,동작 본동 SH빌,2001064,128.52,156.37,144.61,140.39
