,Apartment,Customer,April,May,June,July
9153,동작 상도 SH빌,6000001,176.99,222.35,241.79,438.93
9154,동작 상도 SH빌,6000002,129.88,173.12,158.56,180.11
9155,동작 상도 SH빌,6000003,107.8,133.48,109.71,142.29
9156,동작 상도 SH빌,6000004,107.86,140.15,161.32,229.8
9157,동작 상도 SH빌,6000005,147.72,183.3,216.88,268.79
9158,동작 상도 SH빌,6000006,140.07,152.83,167.34,284.46
9159,동작 상도 SH빌,6000007,141.32,183.96,228.49,287.16
9160,동작 상도 SH빌,6000008,146.03,184.97,223.31,291.73
9161,동작 상도 SH빌,6000009,137.45,165.0,176.67,239.85
9162,동작 상도 SH빌,6000010,236.53,293.18,285.17,331.64
9163,동작 상도 SH빌,6000011,125.35,153.92,173.22,247.65
9164,동작 상도 SH빌,6000012,113.35,125.88,146.19,161.7
9165,동작 상도 SH빌,6000013,84.11,109.81,114.01,260.49
9166,동작 상도 SH빌,6000014,165.19,187.56,210.86,253.12
9167,동작 상도 SH빌,6000015,249.85,314.42,235.46,281.44
9168,동작 상도 SH빌,6000016,121.17,140.73,159.57,184.43
9169,동작 상도 SH빌,6000017,214.09,208.87,217.64,298.53
9170,동작 상도 SH빌,6000018,124.74,140.99,168.63,331.79
9171,동작 상도 SH빌,6000019,133.38,140.79,173.43,266.84
9172,동작 상도 SH빌,6000020,138.16,210.07,218.96,352.63
9173,동작 상도 SH빌,6000022,172.76,232.1,226.15,179.11
9174,동작 상도 SH빌,6000023,65.71,75.32,88.58,107.55
9175,동작 상도 SH빌,6000024,78.27,96.59,95.05,131.87
9176,동작 상도 SH빌,6000025,84.08,100.34,103.04,111.99
9177,동작 상도 SH빌,6000026,114.08,150.37,161.17,237.69
9178,동작 상도 SH빌,6000028,138.2,165.56,161.94,235.35
9179,동작 상도 SH빌,6000029,112.11,134.87,136.77,189.26
9180,동작 상도 SH빌,6000031,148.92,174.6,142.92,265.48
9181,동작 상도 SH빌,6000035,78.75,82.62,95.35,180.76
9182,동작 상도 SH빌,6000036,176.85,193.64,193.67,227.06
9183,동작 상도 SH빌,6000037,45.58,60.43,107.71,116.25
9184,동작 상도 SH빌,6000038,113.16,131.35,162.73,240.29
9185,동작 상도 SH빌,6000039,204.71,249.53,251.09,339.51
9186,동작 상도 SH빌,6000040,58.1,70.58,78.61,158.82
9187,동작 상도 SH빌,6000041,152.09,184.69,190.67,374.76
9188,동작 상도 SH빌,6000042,135.43,165.83,178.07,204.68
9189,동작 상도 SH빌,6000043,153.91,127.24,162.17,216.65
9190,동작 상도 SH빌,6000045,152.68,202.7,220.36,257.98
9191,동작 상도 SH빌,6000046,91.33,109.66,110.14,131.19
9192,동작 상도 SH빌,6000047,126.27,157.24,117.29,127.25
9193,동작 상도 SH빌,6000048,168.12,213.62,246.09,359.72
9194,동작 상도 SH빌,6000049,86.88,115.5,131.24,164.84
9195,동작 상도 SH빌,6000051,114.68,137.04,147.02,201.26
9196,동작 상도 SH빌,6000052,181.8,228.63,237.63,327.89
9197,동작 상도 SH빌,6000053,140.51,195.35,185.75,251.31
9198,동작 상도 SH빌,6000055,131.27,163.83,166.02,164.6
9199,동작 상도 SH빌,6000056,177.96,242.8,332.34,407.72
9200,동작 상도 SH빌,6000057,207.47,175.88,110.12,199.89
9201,동작 상도 SH빌,6000058,164.64,205.18,193.88,238.01
9202,동작 상도 SH빌,6000059,188.18,231.08,218.02,242.86
9203,동작 상도 SH빌,6000060,83.38,102.15,98.3,251.29
9204,동작 상도 SH빌,6000061,69.31,82.13,77.97,87.89
9205,동작 상도 SH빌,6000062,140.39,136.37,168.4,239.46
9206,동작 상도 SH빌,6000063,239.89,286.76,298.94,359.96
9207,동작 상도 SH빌,6000065,183.99,225.13,231.71,333.86
9208,동작 상도 SH빌,6000066,104.05,123.96,173.49,312.61
9209,동작 상도 SH빌,6000068,150.49,161.17,151.99,186.5
9210,동작 상도 SH빌,6000069,203.39,239.63,294.17,458.77
9211,동작 상도 SH빌,6000070,239.25,299.73,298.58,317.64
9212,동작 상도 SH빌,6000071,146.99,199.01,233.19,290.03
9213,동작 상도 SH빌,6000072,214.23,282.73,290.49,369.76
9214,동작 상도 SH빌,6000073,110.84,139.81,123.72,147.47
9215,동작 상도 SH빌,6000074,117.56,125.73,142.03,154.53
9216,동작 상도 SH빌,6000075,131.67,158.68,167.8,254.86
9217,동작 상도 SH빌,6000076,116.48,149.41,205.86,304.25
9218,동작 상도 SH빌,6000077,92.76,119.92,124.08,164.32
9219,동작 상도 SH빌,6000078,164.65,176.69,156.34,204.5
9220,동작 상도 SH빌,6000079,80.3,83.53,85.07,108.02
9221,동작 상도 SH빌,6000080,119.37,148.99,165.09,201.83
9222,동작 상도 SH빌,6000081,75.78,88.31,92.12,106.06
9223,동작 상도 SH빌,6000082,185.21,222.91,180.18,292.66
9224,동작 상도 SH빌,6000084,123.29,143.2,127.63,160.23
9225,동작 상도 SH빌,6000085,94.08,121.04,123.65,135.98
9226,동작 상도 SH빌,6000086,167.82,223.18,222.73,332.87
9227,동작 상도 SH빌,6000087,63.21,79.29,78.18,96.93
9228,동작 상도 SH빌,6000088,128.41,152.24,149.33,215.69
9229,동작 상도 SH빌,6000090,163.43,188.18,209.58,277.31
9230,동작 상도 SH빌,6000091,201.08,233.73,258.78,429.57
9231,동작 상도 SH빌,6000092,76.11,100.0,103.71,135.46
9232,동작 상도 SH빌,6000093,162.63,181.85,216.96,316.59
9233,동작 상도 SH빌,6000094,95.53,106.86,110.48,142.52
9234,동작 상도 SH빌,6000095,122.1,143.83,140.39,183.64
9235,동작 상도 SH빌,6000096,142.46,169.41,183.72,241.56
9236,동작 상도 SH빌,6000097,63.17,75.92,94.31,136.54
9237,동작 상도 SH빌,6000098,137.76,189.79,204.03,221.42
9238,동작 상도 SH빌,6000099,63.62,79.24,70.81,278.47
9239,동작 상도 SH빌,6000100,91.81,102.86,86.83,93.29
9240,동작 상도 SH빌,6000101,38.34,49.88,57.35,65.01
9241,동작 상도 SH빌,6000102,112.44,140.73,153.67,198.71
9242,동작 상도 SH빌,6000103,79.4,91.85,119.83,171.51
9243,동작 상도 SH빌,6001000,203.41,235.47,317.76,281.86
9244,동작 상도 SH빌,6001001,99.34,127.05,156.15,210.36
9245,동작 상도 SH빌,6001002,142.42,138.35,217.36,231.21
9246,동작 상도 SH빌,6001003,99.9,119.11,120.49,164.73
9247,동작 상도 SH빌,6001004,64.54,104.97,156.95,152.44
9248,동작 상도 SH빌,6001005,109.55,144.96,152.38,148.62
9249,동작 상도 SH빌,6001006,114.86,141.48,206.23,296.99
9250,동작 상도 SH빌,6001007,91.82,143.57,183.35,212.61
9251,동작 상도 SH빌,6001008,167.66,266.03,313.19,355.71
9252,동작 상도 SH빌,6001009,164.4,187.19,183.99,213.42
9253,동작 상도 SH빌,6001010,94.06,130.02,152.19,157.73
9254,동작 상도 SH빌,6001011,145.58,185.24,228.91,316.0
9255,동작 상도 SH빌,6001012,180.06,218.43,230.14,273.9
9256,동작 상도 SH빌,6001013,181.74,235.37,250.29,378.18
9257,동작 상도 SH빌,6001014,99.62,115.63,133.64,120.57
9258,동작 상도 SH빌,6001015,183.19,221.65,234.94,288.7
9259,동작 상도 SH빌,6001016,75.74,92.53,106.25,169.77
9260,동작 상도 SH빌,6001018,140.12,172.59,213.4,449.58
9261,동작 상도 SH빌,6001019,72.27,96.85,95.53,121.39
9262,동작 상도 SH빌,6001020,98.23,127.74,122.18,227.26
9263,동작 상도 SH빌,6001022,114.53,135.08,191.11,288.68
9264,동작 상도 SH빌,6001023,141.12,168.79,132.99,157.03
9265,동작 상도 SH빌,6001025,117.29,158.52,180.47,264.32
9266,동작 상도 SH빌,6001028,129.71,168.92,188.34,237.94
9267,동작 상도 SH빌,6001029,251.62,308.52,292.62,329.0
9268,동작 상도 SH빌,6001030,219.0,257.18,245.3,259.88
9269,동작 상도 SH빌,6001031,119.0,158.14,162.43,228.26
9270,동작 상도 SH빌,6001033,77.77,92.89,103.81,109.72
9271,동작 상도 SH빌,6001034,170.91,151.98,162.77,185.22
9272,동작 상도 SH빌,6001036,144.36,199.72,333.91,482.66
9273,동작 상도 SH빌,6001037,58.48,76.4,91.03,122.32
9274,동작 상도 SH빌,6001038,169.17,207.73,215.72,241.22
9275,동작 상도 SH빌,6001039,144.03,176.5,158.59,192.51
9276,동작 상도 SH빌,6001040,147.2,171.67,182.24,208.33
9277,동작 상도 SH빌,6001041,113.01,155.98,157.0,206.5
9278,동작 상도 SH빌,6001042,162.15,209.28,203.16,255.36
9279,동작 상도 SH빌,6001043,128.49,147.24,173.94,241.22
9280,동작 상도 SH빌,6001044,99.17,120.03,112.47,156.17
9281,동작 상도 SH빌,6001045,68.59,84.6,86.83,134.08
9282,동작 상도 SH빌,6001046,104.56,127.91,124.11,166.9
9283,동작 상도 SH빌,6001047,192.63,228.2,333.83,446.54
9284,동작 상도 SH빌,6001048,174.76,202.66,185.39,244.05
9285,동작 상도 SH빌,6001049,126.71,131.95,127.16,163.74
9286,동작 상도 SH빌,6001050,113.69,139.93,127.04,198.15
9287,동작 상도 SH빌,6001051,189.56,230.57,257.41,353.04
9288,동작 상도 SH빌,6001052,181.23,220.2,216.66,270.87
9289,동작 상도 SH빌,6001053,189.4,255.03,287.97,278.02
9290,동작 상도 SH빌,6001055,119.99,150.31,168.33,242.15
9291,동작 상도 SH빌,6001056,122.03,154.3,167.45,207.8
9292,동작 상도 SH빌,6001057,235.45,253.26,234.77,347.57
9293,동작 상도 SH빌,6001058,117.68,159.86,155.6,153.51
9294,동작 상도 SH빌,6001059,128.49,120.69,115.55,94.46
9295,동작 상도 SH빌,6001060,111.61,132.17,132.66,159.31
9296,동작 상도 SH빌,6001061,120.08,149.38,141.16,144.01
9297,동작 상도 SH빌,6001062,255.86,313.76,332.37,423.27
9298,동작 상도 SH빌,6001063,87.54,105.21,99.2,104.33
9299,동작 상도 SH빌,6001064,78.62,88.57,101.44,157.23
9300,동작 상도 SH빌,6001065,78.84,105.57,107.23,122.68
9301,동작 상도 SH빌,6001067,66.83,105.42,126.07,180.34
9302,동작 상도 SH빌,6001069,112.76,142.7,152.77,232.17
