,Apartment,Customer,April,May,June,July
1388,동탄2LH4,etri18473100573,95.0,87.7,89.6,101.1
1389,동탄2LH4,etri18473101169,273.7,232.4,251.0,339.9
1390,동탄2LH4,etri18473101210,89.3,74.9,107.3,142.7
1391,동탄2LH4,etri18473102102,147.2,156.8,192.2,279.9
1392,동탄2LH4,etri18473102178,87.5,92.4,133.3,186.1
1393,동탄2LH4,etri18473102498,244.6,242.1,249.5,274.2
1394,동탄2LH4,etri18473102823,59.3,50.8,84.4,158.3
1395,동탄2LH4,etri18473102923,203.8,218.1,238.0,302.0
1396,동탄2LH4,etri18473103075,256.5,268.8,288.8,380.2
1397,동탄2LH4,etri18473103424,137.4,143.2,148.1,160.9
1398,동탄2LH4,etri18473103478,227.7,232.7,210.6,285.7
1399,동탄2LH4,etri18473103688,176.3,180.4,181.3,224.8
1400,동탄2LH4,etri18473103943,152.9,143.7,119.5,159.6
1401,동탄2LH4,etri18473104026,82.3,100.1,90.2,99.0
1402,동탄2LH4,etri18473104057,136.8,137.5,171.0,273.9
1403,동탄2LH4,etri18473104074,133.7,151.4,216.0,348.1
1404,동탄2LH4,etri18473104561,147.5,160.0,170.1,233.3
1405,동탄2LH4,etri18473104655,167.6,161.2,170.8,266.3
1406,동탄2LH4,etri18473104814,282.3,300.1,307.6,420.4
1407,동탄2LH4,etri18473105209,71.4,68.7,68.4,71.8
1408,동탄2LH4,etri18473105247,231.4,228.2,272.8,360.2
1409,동탄2LH4,etri18473105756,89.0,108.5,118.9,203.9
1410,동탄2LH4,etri18473105801,92.0,94.2,98.2,112.7
1411,동탄2LH4,etri18473106131,111.1,122.8,158.8,173.9
1412,동탄2LH4,etri18473106535,83.5,99.9,99.2,144.2
1413,동탄2LH4,etri18473106922,148.3,139.9,159.8,189.4
1414,동탄2LH4,etri18473107738,179.8,194.2,217.4,315.5
1415,동탄2LH4,etri18473108364,214.6,223.8,275.2,353.1
1416,동탄2LH4,etri18473108578,237.4,174.3,226.5,317.9
1417,동탄2LH4,etri18473108868,135.6,116.3,117.5,141.6
1418,동탄2LH4,etri18473108896,189.9,152.7,156.9,214.3
1419,동탄2LH4,etri18473109275,264.2,279.1,312.9,413.7
1420,동탄2LH4,etri18473110351,117.0,121.6,142.3,252.7
1421,동탄2LH4,etri18473110484,147.8,157.2,181.3,262.8
1422,동탄2LH4,etri18473110985,173.9,217.0,289.4,344.1
1423,동탄2LH4,etri18473111318,28.8,38.1,39.1,44.2
1424,동탄2LH4,etri18473111496,97.5,115.5,127.1,159.5
1425,동탄2LH4,etri18473111665,194.0,200.3,198.8,247.7
1426,동탄2LH4,etri18473112878,262.3,283.4,272.9,316.6
1427,동탄2LH4,etri18473113071,288.6,264.9,269.5,419.5
1428,동탄2LH4,etri18473113306,191.6,256.4,282.9,368.8
1429,동탄2LH4,etri18473113484,129.8,140.1,126.1,202.9
1430,동탄2LH4,etri18473113803,51.9,55.6,36.8,26.4
1431,동탄2LH4,etri18473114610,221.2,229.2,303.8,345.8
1432,동탄2LH4,etri18473115239,176.1,203.6,210.9,273.0
1433,동탄2LH4,etri18473116878,53.1,46.3,47.7,54.6
1434,동탄2LH4,etri18473117889,170.5,182.9,209.6,253.3
1435,동탄2LH4,etri18473118256,139.3,145.2,148.2,180.4
1436,동탄2LH4,etri18473118969,121.6,80.5,92.2,135.1
1437,동탄2LH4,etri18473119651,125.8,132.2,123.9,162.9
1438,동탄2LH4,etri18473120237,107.1,113.1,136.2,173.2
1439,동탄2LH4,etri18473121091,89.8,95.0,112.2,222.9
1440,동탄2LH4,etri18473121882,243.3,252.5,253.9,341.5
1441,동탄2LH4,etri18473122659,143.8,140.2,183.7,259.9
1442,동탄2LH4,etri18473122829,163.0,156.7,154.7,249.3
1443,동탄2LH4,etri18473123537,152.3,164.5,161.6,201.4
1444,동탄2LH4,etri18473123757,140.4,127.1,154.3,205.5
1445,동탄2LH4,etri18473124050,110.2,117.7,103.8,118.4
1446,동탄2LH4,etri18473124465,97.8,121.1,170.0,247.4
1447,동탄2LH4,etri18473124511,69.5,78.4,82.2,110.2
1448,동탄2LH4,etri18473125176,198.5,181.8,198.4,213.9
1449,동탄2LH4,etri18473125811,105.8,121.3,124.6,134.4
1450,동탄2LH4,etri18473125825,144.8,145.1,171.4,269.6
1451,동탄2LH4,etri18473126112,198.0,202.8,254.9,305.2
1452,동탄2LH4,etri18473126207,187.4,160.4,185.9,288.5
1453,동탄2LH4,etri18473126534,156.2,153.7,199.1,209.8
1454,동탄2LH4,etri18473127178,171.2,175.7,198.6,306.2
1455,동탄2LH4,etri18473127655,170.8,171.9,167.4,119.2
1456,동탄2LH4,etri18473127830,109.4,92.0,98.6,109.5
1457,동탄2LH4,etri18473129135,48.6,55.0,54.9,63.0
1458,동탄2LH4,etri18473129198,166.5,178.5,179.6,231.3
1459,동탄2LH4,etri18473129303,287.4,259.5,304.0,420.4
1460,동탄2LH4,etri18473129393,90.0,93.7,107.8,132.6
1461,동탄2LH4,etri18473130094,65.3,64.9,75.5,113.0
1462,동탄2LH4,etri18473130279,209.9,208.8,222.8,278.8
1463,동탄2LH4,etri18473130281,113.6,117.3,120.8,167.8
1464,동탄2LH4,etri18473131599,158.3,153.8,132.2,136.4
1465,동탄2LH4,etri18473131623,266.3,244.3,240.7,276.9
1466,동탄2LH4,etri18473132358,196.3,226.3,216.5,283.1
1467,동탄2LH4,etri18473132434,60.1,68.0,72.2,95.2
1468,동탄2LH4,etri18473133186,68.4,75.5,85.0,79.7
1469,동탄2LH4,etri18473133265,209.6,199.6,199.6,238.6
1470,동탄2LH4,etri18473133282,148.4,146.6,150.4,201.4
1471,동탄2LH4,etri18473133384,95.3,86.0,105.4,147.0
1472,동탄2LH4,etri18473133389,261.5,244.3,245.9,243.3
1473,동탄2LH4,etri18473133533,166.6,172.0,181.3,168.7
1474,동탄2LH4,etri18473133580,200.1,211.5,225.5,281.2
1475,동탄2LH4,etri18473134092,145.9,149.6,146.2,161.2
1476,동탄2LH4,etri18473134388,48.2,47.4,51.4,68.0
1477,동탄2LH4,etri18473134398,197.8,268.7,252.4,309.7
1478,동탄2LH4,etri18473134877,91.8,97.8,114.6,163.3
1479,동탄2LH4,etri18473136714,60.2,63.3,70.0,85.1
1480,동탄2LH4,etri18473136796,155.0,171.4,163.5,182.1
1481,동탄2LH4,etri18473137738,170.4,185.1,198.3,234.2
1482,동탄2LH4,etri18473138204,87.8,84.0,102.9,155.8
1483,동탄2LH4,etri18473138493,178.3,175.4,212.3,367.2
1484,동탄2LH4,etri18473138698,183.6,181.5,182.4,256.4
1485,동탄2LH4,etri18473139024,78.6,94.9,127.5,155.6
1486,동탄2LH4,etri18473139280,208.6,187.2,217.4,234.0
1487,동탄2LH4,etri18473140642,113.7,81.1,83.0,129.8
1488,동탄2LH4,etri18473141327,180.6,174.7,204.8,266.3
1489,동탄2LH4,etri18473141400,107.5,122.5,130.8,181.6
