,Apartment,Customer,April,May,June,July
184,오산,etri18151100000,219.4,189.7,237.4,376.4
185,오산,etri18151100761,227.4,231.0,279.1,351.0
186,오산,etri18151100882,173.9,174.7,187.2,245.9
187,오산,etri18151101121,139.9,125.0,105.0,157.6
188,오산,etri18151102259,181.5,184.2,206.4,316.7
189,오산,etri18151103300,234.2,239.4,293.1,348.2
190,오산,etri18151105639,212.1,212.6,250.1,301.9
191,오산,etri18151105732,167.9,170.8,198.1,252.4
192,오산,etri18151108702,180.5,153.9,138.5,317.0
193,오산,etri18151109864,293.4,275.9,371.6,520.9
194,오산,etri18151110288,221.9,230.1,221.4,320.7
195,오산,etri18151110535,184.3,188.4,196.3,261.8
196,오산,etri18151111203,261.0,275.4,335.3,441.2
197,오산,etri18151112133,156.9,149.9,156.7,231.5
198,오산,etri18151113763,198.0,208.7,207.7,241.2
199,오산,etri18151113833,224.0,212.7,213.7,350.2
200,오산,etri18151113920,199.6,222.6,250.5,339.5
201,오산,etri18151114170,84.6,68.5,56.7,64.4
202,오산,etri18151116278,198.9,203.7,233.3,357.6
203,오산,etri18151116668,285.6,271.9,296.4,386.8
204,오산,etri18151117547,300.6,334.5,430.1,561.6
205,오산,etri18151117608,13.4,13.8,13.2,13.6
206,오산,etri18151117913,186.9,182.6,195.4,274.6
207,오산,etri18151118015,176.5,175.4,173.9,194.2
208,오산,etri18151118539,206.6,231.9,217.3,251.6
209,오산,etri18151118706,348.8,330.2,367.4,531.5
210,오산,etri18151119380,240.8,225.0,223.1,280.9
211,오산,etri18151119563,184.6,170.7,217.1,312.7
212,오산,etri18151120060,178.0,184.6,208.1,290.6
213,오산,etri18151120750,132.9,142.7,176.7,214.2
214,오산,etri18151121203,161.5,167.3,180.0,225.9
215,오산,etri18151121321,133.1,132.0,149.7,182.7
216,오산,etri18151124910,184.5,199.8,219.7,293.5
217,오산,etri18151125124,12.7,18.5,14.2,11.6
218,오산,etri18151125902,229.5,253.4,454.9,625.6
219,오산,etri18151126233,221.0,212.6,202.8,317.0
220,오산,etri18151126704,14.9,12.8,189.6,268.4
221,오산,etri18151126913,72.7,67.7,63.8,95.8
222,오산,etri18151128101,259.6,240.3,263.6,398.6
223,오산,etri18151128989,175.1,159.4,172.1,272.0
224,오산,etri18151129083,91.6,90.0,95.3,121.0
225,오산,etri18151130566,283.4,313.9,357.7,436.9
226,오산,etri18151131270,117.4,143.8,174.3,217.2
227,오산,etri18151131278,283.4,234.2,226.3,272.8
228,오산,etri18151132102,198.2,224.8,259.5,429.4
229,오산,etri18151133085,165.3,144.3,156.0,257.6
230,오산,etri18151133151,315.8,284.5,266.3,394.8
231,오산,etri18151134185,381.2,342.1,322.2,426.2
232,오산,etri18151135278,13.3,13.7,13.3,13.8
233,오산,etri18151135783,228.7,200.9,206.1,278.4
234,오산,etri18151136077,167.0,201.1,226.0,289.3
235,오산,etri18151137161,177.9,191.9,193.9,316.1
236,오산,etri18151137344,233.3,207.5,251.7,438.4
237,오산,etri18151138110,158.1,161.8,158.7,233.7
238,오산,etri18151138805,25.3,10.6,374.8,413.6
239,오산,etri18151139091,358.7,394.1,425.1,468.1
240,오산,etri18151139181,351.1,325.1,300.7,405.7
241,오산,etri18151139831,136.3,163.2,191.5,218.3
242,오산,etri18151140199,237.1,239.8,194.5,282.1
243,오산,etri18151140250,215.0,230.6,241.0,311.8
244,오산,etri18151140694,150.7,159.4,211.3,310.9
245,오산,etri18151141319,274.1,277.2,294.9,512.3
246,오산,etri18151142345,225.0,173.2,196.8,190.7
247,오산,etri18151143265,167.0,179.5,183.7,202.0
248,오산,etri18151143352,246.7,237.3,277.6,412.8
249,오산,etri18151144409,236.8,227.9,191.3,293.3
250,오산,etri18151144415,341.8,344.0,327.5,359.8
251,오산,etri18151145577,134.7,150.3,184.0,229.3
252,오산,etri18151145851,225.7,279.4,342.7,453.8
253,오산,etri18151146591,139.1,130.1,135.2,195.4
254,오산,etri18151146850,130.8,121.9,141.0,239.3
255,오산,etri18151147244,305.8,279.8,258.9,360.9
256,오산,etri18151148039,203.2,244.4,241.9,292.8
257,오산,etri18151148508,10.4,23.0,102.9,292.9
258,오산,etri18151150949,140.0,143.8,160.5,199.3
259,오산,etri18151152416,11.7,12.4,46.7,419.7
260,오산,etri18151152991,168.8,171.3,145.4,172.0
261,오산,etri18151153586,284.1,303.4,313.3,542.2
262,오산,etri18151154118,13.2,13.8,193.5,498.3
263,오산,etri18151154808,95.0,98.7,111.7,141.0
264,오산,etri18151154885,182.2,194.0,199.2,337.7
265,오산,etri18151155175,148.7,157.0,175.3,10.2
266,오산,etri18151155236,276.9,210.8,212.5,224.9
267,오산,etri18151155410,308.8,252.7,263.0,316.0
268,오산,etri18151157422,218.4,200.5,208.5,246.4
269,오산,etri18151157609,171.5,169.9,176.7,211.7
270,오산,etri18151158222,205.8,205.1,194.1,279.4
271,오산,etri18151158760,166.6,178.6,177.8,223.7
272,오산,etri18151159444,243.6,270.3,415.9,594.3
273,오산,etri18151160755,247.5,239.9,302.2,414.7
274,오산,etri18151161844,128.5,137.8,147.0,159.0
275,오산,etri18151161922,248.3,251.2,280.4,363.4
276,오산,etri18151162485,133.5,125.4,153.3,232.7
277,오산,etri18151163560,321.6,301.3,362.2,551.0
278,오산,etri18151164646,272.2,273.8,371.6,538.9
279,오산,etri18151165095,231.3,256.7,319.2,473.3
280,오산,etri18151166957,233.1,206.4,223.6,377.5
281,오산,etri18151167172,233.7,229.6,223.2,268.9
282,오산,etri18151167835,189.2,211.1,245.2,337.8
283,오산,etri18151170303,82.9,81.9,86.8,96.7
284,오산,etri18151171580,11.6,12.0,11.6,11.8
285,오산,etri18151172620,177.4,266.2,253.9,272.6
286,오산,etri18151173727,141.4,142.0,191.8,240.9
287,오산,etri18151174057,141.5,138.9,147.1,185.4
288,오산,etri18151174248,213.8,263.5,359.0,562.8
289,오산,etri18151174277,210.8,236.0,325.8,455.6
290,오산,etri18151175893,95.9,100.5,103.4,117.3
291,오산,etri18151180802,207.9,182.1,234.7,418.8
292,오산,etri18151181426,207.7,223.2,230.6,291.6
293,오산,etri18151182282,307.1,332.5,327.4,404.7
294,오산,etri18151182325,69.0,74.2,84.2,105.2
295,오산,etri18151182958,132.4,145.3,248.9,306.8
296,오산,etri18151183168,197.9,183.2,188.0,240.7
297,오산,etri18151183194,162.1,148.6,144.3,210.0
298,오산,etri18151187922,233.8,224.6,298.4,416.3
299,오산,etri18151188098,100.8,103.5,102.5,150.2
300,오산,etri18151188679,225.2,248.2,231.9,320.0
301,오산,etri18151189027,232.3,226.2,262.4,348.3
302,오산,etri18151189876,90.8,129.7,134.3,159.0
303,오산,etri18151190708,173.1,169.5,177.6,274.5
304,오산,etri18151192591,133.4,128.2,187.3,347.1
305,오산,etri18151194275,153.2,153.4,180.6,303.1
306,오산,etri18151197540,251.3,210.6,245.7,338.6
307,오산,etri18151198275,153.5,167.6,224.8,344.5
308,오산,etri18151198360,111.2,106.7,136.3,213.3
309,오산,etri18151198420,11.1,11.4,10.9,11.2
310,오산,etri18151198742,219.4,207.8,207.7,302.6
311,오산,etri18151199119,231.2,248.4,244.7,274.0
312,오산,etri18151199267,228.5,223.4,254.4,388.9
313,오산,etri18151199415,164.7,172.3,197.8,294.5
314,오산,etri18151199488,113.9,107.3,113.6,126.2
315,오산,etri18151200106,344.7,334.5,391.0,535.9
316,오산,etri18151201905,90.8,89.8,90.7,103.6
317,오산,etri18151201961,145.3,153.0,162.3,247.3
318,오산,etri18151202035,233.2,219.0,297.0,446.0
319,오산,etri18151202729,202.8,209.8,197.5,274.0
320,오산,etri18151202752,376.2,369.1,368.3,472.9
321,오산,etri18151206162,11.0,13.0,12.8,12.9
322,오산,etri18151206371,263.5,274.4,270.8,326.1
323,오산,etri18151206504,169.0,164.3,178.1,265.4
324,오산,etri18151206765,181.0,187.9,188.9,228.8
325,오산,etri18151207224,169.6,195.3,281.8,337.1
326,오산,etri18151207744,141.8,107.9,147.2,292.7
327,오산,etri18151208101,153.1,155.9,162.8,218.7
328,오산,etri18151208282,292.1,296.3,314.6,380.6
329,오산,etri18151209592,15.1,133.8,205.8,257.7
330,오산,etri18151209743,321.9,315.1,320.4,414.2
331,오산,etri18151210255,126.3,108.3,127.3,146.8
332,오산,etri18151211037,12.6,14.9,163.6,266.6
333,오산,etri18151211056,171.7,167.3,187.5,275.1
