,Apartment,Customer,April,May,June,July
3224,화성 향남휴먼시아,1000000,141.369,196.121,199.707,300.891
3225,화성 향남휴먼시아,1000001,147.25,165.009,192.741,215.109
3226,화성 향남휴먼시아,1000002,207.903,253.046,304.43,461.461
3227,화성 향남휴먼시아,1000003,50.461,80.148,151.471,246.141
3228,화성 향남휴먼시아,1000004,120.519,145.459,144.881,168.709
3229,화성 향남휴먼시아,1000005,192.631,210.85,233.82,357.43
3230,화성 향남휴먼시아,1000006,124.651,146.16,179.42,247.019
3231,화성 향남휴먼시아,1000007,115.92,153.33,183.92,306.619
3232,화성 향남휴먼시아,1000008,95.0,114.33,110.959,162.151
3233,화성 향남휴먼시아,1000009,168.649,195.57,192.981,251.878
3234,화성 향남휴먼시아,1000011,145.93,219.541,209.119,238.701
3235,화성 향남휴먼시아,1000012,245.382,294.618,311.82,357.609
3236,화성 향남휴먼시아,1000013,60.92,72.31,70.95,91.77
3237,화성 향남휴먼시아,1000014,169.939,207.74,151.709,196.961
3238,화성 향남휴먼시아,1000015,122.148,126.432,131.519,167.27
3239,화성 향남휴먼시아,1000016,170.76,232.009,231.309,330.061
3240,화성 향남휴먼시아,1000017,175.03,254.66,327.22,404.76
3241,화성 향남휴먼시아,1000019,45.92,72.019,90.311,164.719
3242,화성 향남휴먼시아,1000020,74.08,86.37,117.48,125.26
3243,화성 향남휴먼시아,1000021,119.478,117.34,95.621,86.141
3244,화성 향남휴먼시아,1000022,118.02,151.72,189.11,196.701
3245,화성 향남휴먼시아,1000023,84.471,104.131,129.26,166.279
3246,화성 향남휴먼시아,1000024,71.92,107.75,161.461,220.209
3247,화성 향남휴먼시아,1000026,150.769,175.141,158.631,223.478
3248,화성 향남휴먼시아,1000027,144.129,190.461,171.901,150.25
3249,화성 향남휴먼시아,1000028,114.33,121.05,217.2,407.401
3250,화성 향남휴먼시아,1000029,49.459,60.34,69.102,80.42
3251,화성 향남휴먼시아,1000030,206.73,171.83,144.959,276.272
3252,화성 향남휴먼시아,1000031,111.99,128.28,125.16,147.21
3253,화성 향남휴먼시아,1000032,91.689,134.301,156.651,215.08
3254,화성 향남휴먼시아,1000033,247.11,300.351,285.469,360.019
3255,화성 향남휴먼시아,1000034,196.57,202.629,167.281,228.73
3256,화성 향남휴먼시아,1000035,160.821,167.978,213.041,306.82
3257,화성 향남휴먼시아,1000036,211.56,223.34,200.651,241.959
3258,화성 향남휴먼시아,1000037,68.689,92.891,112.23,134.741
3259,화성 향남휴먼시아,1000038,84.141,119.381,136.828,166.9
3260,화성 향남휴먼시아,1000039,171.769,196.541,161.17,215.881
3261,화성 향남휴먼시아,1000040,178.139,241.791,302.311,442.459
3262,화성 향남휴먼시아,1000041,219.601,263.668,271.789,484.762
3263,화성 향남휴먼시아,1000042,81.211,100.16,105.559,135.5
3264,화성 향남휴먼시아,1000043,88.88,153.37,153.759,121.731
3265,화성 향남휴먼시아,1000044,142.82,132.5,130.37,343.43
3266,화성 향남휴먼시아,1000045,94.439,99.66,126.53,221.49
3267,화성 향남휴먼시아,1000046,225.262,352.289,418.019,591.952
3268,화성 향남휴먼시아,1000047,136.971,154.939,142.051,219.961
3269,화성 향남휴먼시아,1000048,54.701,78.058,100.901,114.17
3270,화성 향남휴먼시아,1000049,150.72,187.379,207.131,261.131
3271,화성 향남휴먼시아,1000050,94.741,114.73,156.91,196.369
3272,화성 향남휴먼시아,1000052,98.269,117.141,131.881,144.939
3273,화성 향남휴먼시아,1000053,42.52,52.46,59.95,77.96
3274,화성 향남휴먼시아,1000054,204.92,252.07,289.061,417.908
3275,화성 향남휴먼시아,1000055,27.349,34.871,35.24,38.11
3276,화성 향남휴먼시아,1000056,90.611,126.629,132.67,224.871
3277,화성 향남휴먼시아,1000057,127.16,167.951,259.26,404.971
